"","Sub_District","date","vaccintion_rate"
"187","KEBON MELATI",2021-12-31,75.6473948953611
"188","KEBON MELATI",2022-01-31,76.8645593988698
"189","KEBON MELATI",2021-07-31,39.0082593305595
"190","KEBON MELATI",2022-03-31,77.6594423399367
"191","KEBON MELATI",2022-05-31,78.1314040861951
"192","KEBON MELATI",2021-10-31,72.5113332919332
"193","KAMPUNG RAWA",2022-02-27,85.7936620049913
"194","KAMPUNG RAWA",2022-04-30,86.4293450110656
"195","KAMPUNG RAWA",2022-06-30,86.7495408956067
"196","KAMPUNG RAWA",2021-11-30,84.042002166031
"197","KAMPUNG RAWA",2021-09-30,80.1761077364976
"198","KAMPUNG RAWA",2021-08-31,72.6138343457174
"199","KAMPUNG RAWA",2021-12-31,84.9555021895748
"200","KAMPUNG RAWA",2022-01-31,85.6665254037764
"201","KAMPUNG RAWA",2021-07-31,61.939068606677
"202","KAMPUNG RAWA",2022-03-31,86.1232754155483
"203","KAMPUNG RAWA",2022-05-31,86.5658991382964
"204","KAMPUNG RAWA",2021-10-31,82.9495691481848
"205","TUGU UTARA",2022-02-27,81.1866410521649
"206","TUGU UTARA",2022-04-30,82.1723067829171
"207","TUGU UTARA",2022-06-30,82.5018471996453
"208","TUGU UTARA",2021-11-30,77.303088517807
"209","TUGU UTARA",2021-09-30,71.8575439633516
"210","TUGU UTARA",2021-08-31,60.623614600266
"211","TUGU UTARA",2021-12-31,78.6522831387616
"212","TUGU UTARA",2022-01-31,80.9487217378454
"213","TUGU UTARA",2021-07-31,47.3385547509975
"214","TUGU UTARA",2022-03-31,81.6816905571154
"215","TUGU UTARA",2022-05-31,82.2432392492981
"216","TUGU UTARA",2021-10-31,75.5282990985666
"217","KAMAL MUARA",2022-02-27,83.9520494972931
"218","KAMAL MUARA",2022-04-30,84.338747099768
"219","KAMAL MUARA",2022-06-30,84.5243619489559
"220","KAMAL MUARA",2021-11-30,82.6759474091261
"221","KAMAL MUARA",2021-09-30,80.5181747873163
"222","KAMAL MUARA",2021-08-31,72.985305491106
"223","KAMAL MUARA",2021-12-31,83.2250580046404
"224","KAMAL MUARA",2022-01-31,83.7664346481052
"225","KAMAL MUARA",2021-07-31,65.2049497293117
"226","KAMAL MUARA",2022-03-31,84.1376643464811
"227","KAMAL MUARA",2022-05-31,84.3928847641145
"228","KAMAL MUARA",2021-10-31,81.9953596287703
"229","PLUIT",2022-02-27,82.7595588389176
"230","PLUIT",2022-04-30,83.165560973568
"231","PLUIT",2022-06-30,83.3350773287571
"232","PLUIT",2021-11-30,81.2025197245882
"233","PLUIT",2021-09-30,77.2408597199841
"234","PLUIT",2021-08-31,66.5634221375803
"235","PLUIT",2021-12-31,81.8847707343616
"236","PLUIT",2022-01-31,82.6256199903731
"237","PLUIT",2021-07-31,56.1308415126719
"238","PLUIT",2022-03-31,83.0106941799385
"239","PLUIT",2022-05-31,83.2157880417722
"240","PLUIT",2021-10-31,80.3612163321683
"241","LAGOA",2022-02-27,81.3950732244138
"242","LAGOA",2022-04-30,82.3381020909168
"243","LAGOA",2022-06-30,82.7461271480572
"244","LAGOA",2021-11-30,77.4875137560315
"245","LAGOA",2021-09-30,71.5956996529248
"246","LAGOA",2021-08-31,61.0818589689325
"247","LAGOA",2021-12-31,79.3600270888005
"248","LAGOA",2022-01-31,81.120799119614
"249","LAGOA",2021-07-31,47.5933293828833
"250","LAGOA",2022-03-31,81.8488106323542
"251","LAGOA",2022-05-31,82.4261406924575
"252","LAGOA",2021-10-31,75.5235757216626
"253","PAPANGGO",2022-02-27,83.4232805586106
"254","PAPANGGO",2022-04-30,84.1266593344758
"255","PAPANGGO",2022-06-30,84.3773179527841
"256","PAPANGGO",2021-11-30,81.187814921861
"257","PAPANGGO",2021-09-30,75.8932910453487
"258","PAPANGGO",2021-08-31,66.1124894493184
"259","PAPANGGO",2021-12-31,82.221142287132
"260","PAPANGGO",2022-01-31,83.2058725733432
"261","PAPANGGO",2021-07-31,54.1857431516485
"262","PAPANGGO",2022-03-31,83.8120571910888
"263","PAPANGGO",2022-05-31,84.2085070465765
"264","PAPANGGO",2021-10-31,79.5815535718853
"265","SUNGAI BAMBU",2022-02-27,83.428169768376
"266","SUNGAI BAMBU",2022-04-30,84.2549203373946
"267","SUNGAI BAMBU",2022-06-30,84.5159994644531
"268","SUNGAI BAMBU",2021-11-30,80.9345293881376
"269","SUNGAI BAMBU",2021-09-30,75.2945508100147
"270","SUNGAI BAMBU",2021-08-31,64.1451332172982
"271","SUNGAI BAMBU",2021-12-31,82.0257062525104
"272","SUNGAI BAMBU",2022-01-31,83.1202302851787
"273","SUNGAI BAMBU",2021-07-31,52.7982326951399
"274","SUNGAI BAMBU",2022-03-31,83.79970544919
"275","SUNGAI BAMBU",2022-05-31,84.3385995447851
"276","SUNGAI BAMBU",2021-10-31,79.1136698353193
"277","KEBON BAWANG",2022-02-27,83.2646412309625
"278","KEBON BAWANG",2022-04-30,84.1576385617836
"279","KEBON BAWANG",2022-06-30,84.4324069712671
"280","KEBON BAWANG",2021-11-30,80.7073323912702
"281","KEBON BAWANG",2021-09-30,75.253179463024
"282","KEBON BAWANG",2021-08-31,63.5539331135186
"283","KEBON BAWANG",2021-12-31,81.863322342597
"284","KEBON BAWANG",2022-01-31,82.9780970325012
"285","KEBON BAWANG",2021-07-31,52.0607630711258
"286","KEBON BAWANG",2022-03-31,83.7435233160622
"287","KEBON BAWANG",2022-05-31,84.2577327680955
"288","KEBON BAWANG",2021-10-31,78.9174124666353
"289","WARAKAS",2022-02-27,84.6084547645323
"290","WARAKAS",2022-04-30,85.4485259341006
"291","WARAKAS",2022-06-30,85.7300511249747
"292","WARAKAS",2021-11-30,82.3697664467016
"293","WARAKAS",2021-09-30,76.9487173712304
"294","WARAKAS",2021-08-31,65.3408707011103
"295","WARAKAS",2021-12-31,83.3246998941465
"296","WARAKAS",2022-01-31,84.3134163644963
"297","WARAKAS",2021-07-31,52.8816918537871
"298","WARAKAS",2022-03-31,85.0611472714579
"299","WARAKAS",2022-05-31,85.5408661967073
"300","WARAKAS",2021-10-31,81.025202135087
"301","KOJA",2022-02-27,81.9733806566105
"302","KOJA",2022-04-30,82.8429458740018
"303","KOJA",2022-06-30,83.1836734693878
"304","KOJA",2021-11-30,78.1863354037267
"305","KOJA",2021-09-30,72.7630878438332
"306","KOJA",2021-08-31,61.8456078083407
"307","KOJA",2021-12-31,80.5678793256433
"308","KOJA",2022-01-31,81.6823425022183
"309","KOJA",2021-07-31,51.3504880212955
"310","KOJA",2022-03-31,82.4383318544809
"311","KOJA",2022-05-31,82.963620230701
"312","KOJA",2021-10-31,76.4614019520852
"313","TUGU SELATAN",2022-02-27,82.1021420172793
"314","TUGU SELATAN",2022-04-30,82.9763304534533
"315","TUGU SELATAN",2022-06-30,83.2805071315372
"316","TUGU SELATAN",2021-11-30,78.6130565921988
"317","TUGU SELATAN",2021-09-30,73.3321404836154
"318","TUGU SELATAN",2021-08-31,61.4845866775727
"319","TUGU SELATAN",2021-12-31,80.7065078472471
"320","TUGU SELATAN",2022-01-31,81.8976534941976
